sample_id,animal_id_description
GSM3722100,YX1L: Young animal 1
GSM3722101,YX2L: Young animal 2
GSM3722102,YX3R: Young animal 3
GSM3722103,YX4R: Young animal 4
GSM3722104,YX5R: Young animal 5
GSM3722105,YX6L: Young animal 6
GSM3722106,YX7R: Young animal 7
GSM3722107,YX8L: Young animal 8
GSM3722108,OX1X: Old animal 1
GSM3722109,OX2X: Old animal 2
GSM3722110,OX3X: Old animal 3
GSM3722111,OX4X: Old animal 4
GSM3722112,OX5X: Old animal 5
GSM3722113,OX6X: Old animal 6
GSM3722114,OX7X: Old animal 7
GSM3722115,OX8X: Old animal 8